Subject Code,Prerequisites
CULS90004,Prerequisites None
PUBL90023,Prerequisites Code Name Teaching period Credit Points PUBL90022 Publishing and Communications Thesis Pt1 Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 18.75
LAWS50063,Prerequisites All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5
MEDS90043,Prerequisites Code Name Teaching period Credit Points MEDS90004 Principles of Clinical Practice 2 Year Long (Extended) (On Campus - Parkville) 81.25
BUSA90273,"Prerequisites Prerequisite Option 1 87.5 credit points from Code Name Teaching period Credit Points BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25 BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90224 Managing People April (On Campus - Parkville) January (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90243 Marketing September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90001 Financial Accounting September (On Campus - Parkville) April (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90193 Managerial Economics September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90093 Finance September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 AND 25 credit points from Code Name Teaching period Credit Points BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 Note: these subjects may be taken concurrently (at the same time) OR Option 2 106.25 credit points from Code Name Teaching period Credit Points BUSA90482 General Management 1 September (On Campus - Parkville) 62.5 BUSA90483 General Management 2 January (On Campus - Parkville) 43.75 AND 25 credit points from Code Name Teaching period Credit Points BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 OR Option 3 Admission into one of the following: MC-ENTRPSP Master of Entrepreneurship, MC-ETRENH Master of Entrepreneurship (Enhanced)"
ORAL10003,Prerequisites None
BUSA90261,Prerequisites All of Code Name Teaching period Credit Points BUSA90001 Financial Accounting September (On Campus - Parkville) April (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90074 Global Business Economics July (On Campus - Parkville) 12.5 BUSA90093 Finance September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90193 Managerial Economics September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90224 Managing People April (On Campus - Parkville) January (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90243 Marketing September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25
BUSA90013,"Prerequisites Option 1 87.5 credit points from Code Name Teaching period Credit Points BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25 BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90224 Managing People April (On Campus - Parkville) January (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90243 Marketing September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90193 Managerial Economics September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90093 Finance September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90001 Financial Accounting September (On Campus - Parkville) April (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) 12.5 AND Note: these subjects may be taken concurrently (at the same time) 25 credit points from Code Name Teaching period Credit Points BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 OR Option 2 Admission into one of the following: MC-ENTRPSP Master of Entrepreneurship, MC-ETRENH Master of Entrepreneurship (Enhanced) OR Option 3 106.25 credit points from Code Name Teaching period Credit Points BUSA90482 General Management 1 September (On Campus - Parkville) 62.5 BUSA90483 General Management 2 January (On Campus - Parkville) 43.75 AND Note: these subjects may be taken concurrently (at the same time) 25 credit points from Code Name Teaching period Credit Points BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5"
BUSA90229,Prerequisites Code Name Teaching period Credit Points BUSA90059 Data Analytics for Decision Making Summer Term (Online) September (Online) 12.5 No longer available BUSA90552 Business Essentials September (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) Summer Term (Online) July (On Campus - Parkville) 12.5
LAWS90107,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5
BUSA90126,Prerequisites None
LAWS50046,Prerequisites All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 AND Note: the following subject/s can also be taken concurrently (at the same time) Code Name Teaching period Credit Points LAWS50030 Property Semester 1 (On Campus - Parkville) 12.5
AHIS40022,Prerequisites Subject coordinator approval is required to enrol in this subject.
ARTS40001,Prerequisites None
ARTS90032,Prerequisites None
FNCE90056,Prerequisites Admission into one of the following: MC-MGMTAFN Master of Management (Accounting and Finance) 150pt Program course entry point in the MC-MGMTFIN Master of Management (Finance) OR Code Name Teaching period Credit Points FNCE90060 Financial Management Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5
DENT90095,Prerequisites None
LAWS90197,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5
FNCE90002,Prerequisites Admission into the MC-COMFIN Master of Commerce (Finance)
FNCE90009,Prerequisites Admission into the MC-COMFIN Master of Commerce (Finance)
LAWS90059,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50030 Property Semester 1 (On Campus - Parkville) 12.5
LAWS90213,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5
DENT90091,Prerequisites Code Name Teaching period Credit Points DENT90090 Oral Medicine 1 Year Long (On Campus - Parkville) 75
DENT90092,Prerequisites None
FNCE90013,"Prerequisites Admission into one of the following: MC-FINANCE Master of Finance, MC-FINENH Master of Finance (Enhanced) AND Completion of a minimum of 100 credit points of study, inclusive of All of Code Name Teaching period Credit Points ECON90033 Quantitative Analysis of Finance I Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 ECON90034 Economics of Finance Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 FNCE90047 Financial Markets and Instruments Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points ACCT90002 Financial Statement Analysis Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 ACCT90004 Accounting for Decision Making Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5"
MECM90026,Prerequisites Admission into the MC-MKTCOMM Master of Marketing Communications
POPH90263,Prerequisites None
MGMT90256,Prerequisites Admission into one of the following: PR-SCM Professional Certificate in Supply Chain Management MC-SCM150 Master of Supply Chain Management OR Approval of Subject Coordinator Note when seeking Subject Coordinator approval you will need to meet the following criteria: An undergraduate degree or equivalent; A minimum of at least 3 years of full-time documented relevant professional experience;  OR  professional experience of at least 5 years of full-time documented relevant work experience.
ABPL90371,Prerequisites None
JAPN30005,"Prerequisites One of Code Name Teaching period Credit Points JAPN10004 Japanese 6 Semester 2 (On Campus - Parkville) 12.5 JAPN20014 Japanese 6 Semester 2 (On Campus - Parkville) 12.5 JAPN30008 Japanese 6 Semester 2 (On Campus - Parkville) 12.5 OR New students will have their appropriate entry point determined by the Japanese Program, based on evidence of prior learning and/or results of a placement test as required. Placement Test information here: Link"
ECOM90014,Prerequisites Admission into the MC-COMECO Master of Commerce (Economics) OR Code Name Teaching period Credit Points ECOM90005 Advanced Econometric Techniques Semester 1 (On Campus - Parkville) 12.5
MECM90030,Prerequisites Code Name Teaching period Credit Points MECM90029 Media and Communications Thesis Part 1 Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 18.75
ECOL30007,Prerequisites Code Name Teaching period Credit Points EVSC20004 Blue Planet - Intro to Marine Biology Semester 1 (On Campus - Parkville) 12.5 AND A minimum of one of Code Name Teaching period Credit Points ECOL20003 Ecology Semester 2 (On Campus - Parkville) 12.5 ZOOL20005 Animal Structure and Function Semester 1 (On Campus - Parkville) 12.5 MAST20031 Analysis of Biological Data Semester 1 (On Campus - Parkville) 12.5
ERTH20001,Prerequisites
ECON10003,"Prerequisites Code Name Teaching period Credit Points ECON10004 Introductory Microeconomics Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 AND One of the following prerequisite options Option 1 Admission into one of the following: B-COM Bachelor of Commerce B-SCI Bachelor of Science Option 2 Code Name Teaching period Credit Points MAST10012 Introduction to Mathematics Semester 1 (On Campus - Parkville) 12.5 Option 3 A study score of at least 25 in VCE Mathematical Methods (Units 3 and 4) or Specialist Mathematics (Units 3 and 4), or equivalent Option 4 All of Code Name Teaching period Credit Points MAST10014 Foundation Mathematics 1 Semester 1 (On Campus - Parkville) 12.5 MAST10015 Foundation Mathematics 2 Semester 2 (On Campus - Parkville) 12.5"
ZOOL20005,Prerequisites One of Code Name Teaching period Credit Points BIOL10002 Biomolecules and Cells Semester 1 (On Campus - Parkville) 12.5 BIOL10008 Foundational Biology: Life's Machinery Semester 1 (On Campus - Parkville) Summer Term (On Campus - Parkville) 12.5 BIOL10009 Biology: Life's Machinery Not available in 2024 12.5 BIOL10004 - Biology of Cells and Organisms AND One of Code Name Teaching period Credit Points BIOL10010 Foundational Biology: Life's Complexity Semester 2 (On Campus - Parkville) 12.5 BIOL10011 Biology: Life's Complexity Not available in 2024 12.5 BIOM10002 Exploring Biomedicine Semester 2 (On Campus - Parkville) 12.5 BIOL10003 - Genes and Environment BIOL10005 - Genetics and the Evolution of Life
ABPL30039,Prerequisites Code Name Teaching period Credit Points ABPL30055 Construction Management Semester 1 (On Campus - Parkville) 12.5 OR Equivalent as approved by the coordinator.
INDO20007,"Prerequisites One of Code Name Teaching period Credit Points INDO10001 Indonesian 3 Semester 1 (On Campus - Parkville) 12.5 INDO20006 Indonesian 3 Semester 1 (On Campus - Parkville) 12.5 OR Equivalent OR All students enrolling in Indonesian at The University of Melbourne for the first time are required to complete the online language questionnaire and placement test at the link below. This applies to all students, including total beginners and those who have any experience with the language, whether through formal study, such as VCE or equivalent, or informally through family or overseas travel. The results of the test are binding and enrolment can only be changed in consultation with the relevant course coordinator. Link"
ANAT30008,Prerequisites Code Name Teaching period Credit Points ANAT20006 Principles of Human Structure Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 OR (For Bachelor of Biomedicine students) Code Name Teaching period Credit Points BIOM20002 Human Structure and Function Semester 2 (On Campus - Parkville) 25 Note: 516-204 Anatomy 1 and 516-207 Anatomy 2 are alternative prerequisites for entry into this subject
ACTL30001,Prerequisites For students who commenced their degree in 2018 or earlier All of Code Name Teaching period Credit Points MAST20005 Statistics Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 ACTL20002	 Financial Mathematics II For students who commenced their degree in 2019 or later (i.e. enrollment into this subject from 2021 onwards) All of Code Name Teaching period Credit Points ACTL20003 Stochastic Techniques in Insurance Semester 2 (On Campus - Parkville) 12.5 MAST20005 Statistics Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5
MAST20006,Prerequisites One of Code Name Teaching period Credit Points MAST10006 Calculus 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 MAST10009 Accelerated Mathematics 2 Semester 2 (On Campus - Parkville) 12.5 MAST10021 Calculus 2: Advanced Semester 2 (On Campus - Parkville) 12.5 MAST10019 Calculus Extension Studies AND One of Code Name Teaching period Credit Points MAST10007 Linear Algebra Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 MAST10008 Accelerated Mathematics 1 Semester 1 (On Campus - Parkville) 12.5 MAST10010 Data Analysis Semester 2 (On Campus - Parkville) 12.5 MAST10011 Experimental Design and Data Analysis No longer available MAST10022 Linear Algebra: Advanced Semester 1 (On Campus - Parkville) 12.5 MAST10018 Linear Algebra Extension Studies MAST10013 UMEP Maths for High Achieving Students
CHEM20011,Prerequisites One of Code Name Teaching period Credit Points CHEM10004 Chemistry 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 CHEM10006 Chemistry for Biomedicine Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 CHEM10009 Chemistry for BioSciences No longer available OR Code Name Teaching period Credit Points CHEM10003 Chemistry 1 Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 With a result of at least 80 A package of materials will be made available to provide additional preparation for this subject.
THTR20022,Prerequisites None
MGMT30015,Prerequisites None
MAST10007,"Prerequisites A study score of at least 29 in VCE Specialist Mathematics 3/4, or equivalent OR Code Name Teaching period Credit Points MAST10005 Calculus 1 Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5"
ARCH20004,Prerequisites Code Name Teaching period Credit Points ARCH10001 Foundations of Design: Representation Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5
CEDB30002,Prerequisites Bachelor of Science: One of Code Name Teaching period Credit Points BCMB20002 Biochemistry and Molecular Biology Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 CEDB20003 Fundamentals of Cell Biology Semester 1 (On Campus - Parkville) 12.5 GENE20001 Foundations of Genetics and Genomics Semester 1 (On Campus - Parkville) 12.5 ZOOL20006 Comparative Animal Physiology Semester 2 (On Campus - Parkville) 12.5 GENE20002  Genes and Genomes Bachelor of Biomedicine Code Name Teaching period Credit Points BIOM20001 Molecular and Cellular Biomedicine Semester 1 (On Campus - Parkville) 25
SPAN30020,Prerequisites One of Code Name Teaching period Credit Points SPAN10003 Spanish 3 Semester 1 (On Campus - Parkville) 12.5 SPAN20002 Spanish 3 Semester 1 (On Campus - Parkville) 12.5 SPAN20027 Intensive Spanish 3 & 4 Summer Term (On Campus - Parkville) 25 OR Equivalent
PHRM20001,Prerequisites Completion of a minimum of 37.5 credit points of Code Name Teaching period Credit Points BIOL10002 Biomolecules and Cells Semester 1 (On Campus - Parkville) 12.5 BIOL10008 Foundational Biology: Life's Machinery Semester 1 (On Campus - Parkville) Summer Term (On Campus - Parkville) 12.5 BIOL10009 Biology: Life's Machinery Not available in 2024 12.5 BIOL10010 Foundational Biology: Life's Complexity Semester 2 (On Campus - Parkville) 12.5 BIOL10011 Biology: Life's Complexity Not available in 2024 12.5 BIOM10002 Exploring Biomedicine Semester 2 (On Campus - Parkville) 12.5 CHEM10003 Chemistry 1 Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 CHEM10004 Chemistry 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 CHEM10006 Chemistry for Biomedicine Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 CHEM10007 Fundamentals of Chemistry Semester 1 (On Campus - Parkville) 12.5 CHEM10008 Foundation Studies in Chemistry Semester 1 (On Campus - Dookie) 12.5 CHEM10009 Chemistry for BioSciences No longer available
INDO30011,"Prerequisites One of Code Name Teaching period Credit Points INDO10002 Indonesian 4 Semester 2 (On Campus - Parkville) 12.5 INDO20007 Indonesian 4 Semester 2 (On Campus - Parkville) 12.5 OR Equivalent OR All students enrolling in Indonesian at The University of Melbourne for the first time are required to complete the online language questionnaire and placement test at the link below. This applies to all students, including total beginners and those who have any experience with the language, whether through formal study, such as VCE or equivalent, or informally through family or overseas travel. The results of the test are binding and enrolment can only be changed in consultation with the relevant course coordinator. Link"
ECON30025,Prerequisites Students must meet one of the following prerequisite options: Option 1 One of Code Name Teaching period Credit Points ECOM20001 Econometrics 1 Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 ECON20003 Quantitative Methods 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 Option 2 Code Name Teaching period Credit Points MAST20005 Statistics Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points MAST20004 Probability Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 MAST20006 Probability for Statistics Semester 1 (On Campus - Parkville) 12.5
EDUC10050,Prerequisites None
MAST20029,Prerequisites One of Code Name Teaching period Credit Points MAST10006 Calculus 2 Summer Term (On Campus - Parkville) Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 MAST10009 Accelerated Mathematics 2 Semester 2 (On Campus - Parkville) 12.5 MAST10021 Calculus 2: Advanced Semester 2 (On Campus - Parkville) 12.5 MAST10019 Calculus Extension Studies AND One of Code Name Teaching period Credit Points MAST10007 Linear Algebra Summer Term (On Campus - Parkville) Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 MAST10008 Accelerated Mathematics 1 Semester 1 (On Campus - Parkville) 12.5 MAST10022 Linear Algebra: Advanced Semester 1 (On Campus - Parkville) 12.5 MAST10013 UMEP Maths for High Achieving Students MAST10018 Linear Algebra Extension Studies OR Admission into one of the following: MC-BIOMENG Master of Biomedical Engineering MC-CHEMENG Master of Chemical Engineering MC-CIVENG Master of Civil Engineering MC-ELECENG Master of Electrical Engineering MC-ENVENG Master of Environmental Engineering MC-MECHENG Master of Mechanical Engineering MC-MTRNENG Master of Mechatronics Engineering MC-ARCHENG Master of Architectural Engineering
COMP30019,Prerequisites One of Code Name Teaching period Credit Points COMP20003 Algorithms and Data Structures Semester 2 (On Campus - Parkville) 12.5 COMP20007 Design of Algorithms Semester 1 (On Campus - Parkville) 12.5 COMP90038 Algorithms and Complexity Semester 1 (On Campus - Parkville) Semester 2 (On Campus - Parkville) 12.5 OR Admission into one of the following: MC-IT150 Master of Information Technology GC-CS Graduate Certificate in Computer Science
ANSC20004,Prerequisites None
LAWS50055,Prerequisites All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50037 Evidence and Proof Semester 1 (On Campus - Parkville) July (On Campus - Parkville) 12.5 LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5
LAWS90006,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50031 Legal Theory Semester 2 (On Campus - Parkville) November (On Campus - Parkville) 12.5 AND One of Code Name Teaching period Credit Points LAWS50027 Dispute Resolution No longer available LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5 Only approved applicants can enrol into this subject. Some host organisations may have specific requirements regarding prerequisite subjects.
LAWS90189,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5 AND 50 credit points from Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50024 Principles of Public Law Semester 1 (On Campus - Parkville) 12.5 LAWS50026 Obligations Semester 1 (On Campus - Parkville) 12.5 LAWS50028 Constitutional Law Semester 2 (On Campus - Parkville) 12.5 LAWS50029 Contracts Semester 2 (On Campus - Parkville) 12.5 LAWS50030 Property Semester 1 (On Campus - Parkville) 12.5 LAWS50031 Legal Theory Semester 2 (On Campus - Parkville) November (On Campus - Parkville) 12.5 LAWS50032 Administrative Law Semester 1 (On Campus - Parkville) 12.5 LAWS50033 Equity and Trusts Semester 2 (On Campus - Parkville) 12.5 LAWS50034 Criminal Law and Procedure Semester 2 (On Campus - Parkville) 12.5 LAWS50035 Corporations Law Semester 2 (On Campus - Parkville) 12.5 LAWS50036 Remedies November (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5 LAWS50037 Evidence and Proof Semester 1 (On Campus - Parkville) July (On Campus - Parkville) 12.5 LAWS50039 Legal Research Semester 2 (On Campus - Parkville) Semester 1 (On Campus - Parkville) 12.5
PSYC90124,"Prerequisites Admission into the MC-AP Master of Applied Psychology Students who are not enrolled in the Master of Applied Psychology but who wish to enrol in this subject, must seek permission from the Course Coordinator for the Master of Applied Psychology (details in the course's Handbook entry). In order to be considered, students must have completed an accredited psychology major as part of their undergraduate degree or equivalent."
LAWS90260,Prerequisites Admission into the MC-JURISD Juris Doctor AND All of Code Name Teaching period Credit Points LAWS50023 Legal Method and Reasoning Summer Term (Dual-Delivery - Parkville) 12.5 LAWS50025 Torts Semester 1 (On Campus - Parkville) 12.5 LAWS90140 Disputes and Ethics Semester 2 (On Campus - Parkville) 12.5
BUSA90124,Prerequisites 100 credit points from Code Name Teaching period Credit Points BUSA90060 Data Analysis January (On Campus - Parkville) July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90224 Managing People April (On Campus - Parkville) January (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90001 Financial Accounting September (On Campus - Parkville) April (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) 12.5 BUSA90093 Finance September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90193 Managerial Economics September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90243 Marketing September (On Campus - Parkville) July (On Campus - Parkville) January (On Campus - Parkville) April (On Campus - Parkville) 12.5 BUSA90480 Leadership September (On Campus - Parkville) April (On Campus - Parkville) Summer Term (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) 6.25 BUSA90481 Managerial Ethics & Business Environment April (On Campus - Parkville) June (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) Summer Term (On Campus - Parkville) 6.25 BUSA90482 General Management 1 September (On Campus - Parkville) 62.5 BUSA90483 General Management 2 January (On Campus - Parkville) 43.75 BUSA90026 Business Strategy July (On Campus - Parkville) September (On Campus - Parkville) April (On Campus - Parkville) April (On Campus - Parkville) January (On Campus - Parkville) 12.5 12.5 credit points from Code Name Teaching period Credit Points BUSA90227 Operations April (On Campus - Parkville) April (On Campus - Parkville) September (On Campus - Parkville) July (On Campus - Parkville) 12.5 BUSA90227 is a concurrent pre-requisite and may be done concurrently with the subject
FNCE10002,"Prerequisites A study score of at least 25 in Mathematical Methods in VCE Units 3 and 4, or equivalent OR Admission into one of the following: B-COM Bachelor of Commerce B-SCI Bachelor of Science OR Code Name Teaching period Credit Points MAST10012 Introduction to Mathematics Semester 1 (On Campus - Parkville) 12.5"
